                             title                             | count 
 The Conjuring 2                                               |     3
 The Gunman                                                    |     3
 End of Watch                                                  |     3
 Hail, Caesar!                                                 |     2
 Burnt                                                         |     2
 The Purge: Election Year                                      |     3
 Chalk It Up                                                   |     1
 Knight of Cups                                                |     2
 The Internship                                                |     1
 Love & Friendship                                             |     3
 Sisters                                                       |     1
 The Last Face                                                 |     1
 Ben-Hur                                                       |     3
 Deepwater Horizon                                             |     3
 The Babadook                                                  |     2
 Underworld: Rise of the Lycans                                |     3
 Anthropoid                                                    |     3
 Adoration                                                     |     2
 The Pursuit of Happyness                                      |     2
 Hellboy II: The Golden Army                                   |     3
 The Mummy: Tomb of the Dragon Emperor                         |     3
 Birth of the Dragon                                           |     3
 Deuces                                                        |     1
 Savages                                                       |     3
 Viral                                                         |     3
 Predators                                                     |     3
 Jason Bourne                                                  |     2
 American Honey                                                |     1
 Sherlock Holmes: A Game of Shadows                            |     3
 Tangled                                                       |     3
 Pride and Prejudice and Zombies                               |     3
 Captain Fantastic                                             |     2
 Revolutionary Road                                            |     2
 The Family                                                    |     3
 All We Had                                                    |     1
 Victor Frankenstein                                           |     3
 Captain Phillips                                              |     3
 Olympus Has Fallen                                            |     2
 Annie                                                         |     3
 Source Code                                                   |     3
 Captain America: The First Avenger                            |     3
 The Fast and the Furious: Tokyo Drift                         |     3
 The Whole Truth                                               |     3
 Snowpiercer                                                   |     3
 Sully                                                         |     2
 The Last Witch Hunter                                         |     3
 Super                                                         |     2
 How to Train Your Dragon 2                                    |     3
 The Hunger Games: Mockingjay - Part 2                         |     3
 Shut In                                                       |     3
 Rush                                                          |     3
 The Girl with the Dragon Tattoo                               |     3
 Mean Dreams                                                   |     1
 Lion                                                          |     2
 Chef                                                          |     2
 Life as We Know It                                            |     3
 Friday the 13th                                               |     1
 Hotel Transylvania 2                                          |     3
 My Big Fat Greek Wedding 2                                    |     3
 WALL·E                                                        |     3
 Mr. Right                                                     |     3
 The Hurt Locker                                               |     3
 The Autopsy of Jane Doe                                       |     3
 Remember Me                                                   |     2
 Wrecker                                                       |     3
 Freedom Writers                                               |     3
 Across the Universe                                           |     3
 London Has Fallen                                             |     3
 Saving Mr. Banks                                              |     3
 Mindhorn                                                      |     1
 The Magnificent Seven                                         |     3
 The Hobbit: The Desolation of Smaug                           |     2
 Chuck                                                         |     3
 Tall Men                                                      |     3
 She's Out of My League                                        |     2
 Never Back Down                                               |     3
 Snowden                                                       |     3
 Children of Men                                               |     3
 The Dictator                                                  |     1
 300                                                           |     3
 Hachi: A Dog's Tale                                           |     2
 Florence Foster Jenkins                                       |     3
 The Lego Movie                                                |     3
 Lady in the Water                                             |     3
 The Social Network                                            |     2
 The Lobster                                                   |     3
 The Secret Scripture                                          |     1
 Everest                                                       |     3
 Hounds of Love                                                |     3
 Into the Wild                                                 |     3
 The Boy in the Striped Pyjamas                                |     2
 Flight                                                        |     2
 Everybody Wants Some!!                                        |     1
 Fantastic Beasts and Where to Find Them                       |     3
 22 Jump Street                                                |     3
 Devil's Knot                                                  |     3
 Colossal                                                      |     3
 Assassin's Creed                                              |     3
 The Shallows                                                  |     3
 Bleed for This                                                |     3
 Into the Woods                                                |     3
 Spy                                                           |     3
 3 Days to Kill                                                |     3
 Cars 2                                                        |     3
 Carrie                                                        |     2
 Mine                                                          |     2
 The Survivalist                                               |     3
 The Butler                                                    |     2
 The Promise                                                   |     2
 City of Tiny Lights                                           |     3
 Paul                                                          |     3
 13 Hours                                                      |     3
 Looper                                                        |     3
 Enchanted                                                     |     3
 Gangster Squad                                                |     3
 The Ugly Truth                                                |     2
 Star Trek Beyond                                              |     3
 The Hostk                                                     |     3
 Amateur Night                                                 |     1
 Love & Other Drugs                                            |     3
 The Amazing Spider-Man 2                                      |     3
 Despicable Me 2                                               |     3
 Pirates of the Caribbean: On Stranger Tides                   |     3
 Warm Bodies                                                   |     3
 Sherlock Holmes                                               |     3
 Chappie                                                       |     3
 127 Hours                                                     |     3
 The Departed                                                  |     3
 Spider-Man 3                                                  |     2
 Diary of a Wimpy Kid                                          |     2
 Now You See Me                                                |     3
 Fool's Gold                                                   |     3
 Fast Five                                                     |     3
 Harry Potter and the Half-Blood Prince                        |     3
 Pan                                                           |     3
 Only for One Night                                            |     1
 A United Kingdom                                              |     3
 Wakefield                                                     |     1
 This Means War                                                |     3
 This Is 40                                                    |     2
 The VVitch: A New-England Folktale                            |     2
 We're the Millers                                             |     2
 A Bigger Splash                                               |     2
 Hairspray                                                     |     3
 August Rush                                                   |     2
 The Loft                                                      |     3
 Sleeping Beauty                                               |     2
 Hercules                                                      |     2
 Magic Mike                                                    |     2
 The Prestige                                                  |     3
 Hands of Stone                                                |     3
 Whiskey Tango Foxtrot                                         |     3
 Hostel: Part II                                               |     1
 En man som heter Ove                                          |     2
 The Fall                                                      |     3
 Diary of a Wimpy Kid: Rodrick Rules                           |     2
 The Dark Knight Rises                                         |     2
 Percy Jackson: Sea of Monsters                                |     3
 Hello, My Name Is Doris                                       |     3
 Notorious                                                     |     3
 Pete's Dragon                                                 |     3
 Hanna                                                         |     3
 The Book of Eli                                               |     3
 17 Again                                                      |     3
 The Ticket                                                    |     1
 I Origins                                                     |     3
 El secreto de sus ojos                                        |     3
 USS Indianapolis: Men of Courage                              |     3
 Kicks                                                         |     1
 Mike and Dave Need Wedding Dates                              |     3
 The Giver                                                     |     3
 X-Men: The Last Stand                                         |     3
 Marie Antoinette                                              |     3
 Toy Story 3                                                   |     3
 Miss Peregrine's Home for Peculiar Children                   |     3
 Take Me Home Tonight                                          |     3
 Dear White People                                             |     2
 The Twilight Saga: Breaking Dawn - Part 2                     |     3
 A Dark Song                                                   |     2
 Folk Hero & Funny Guy                                         |     1
 The First Time                                                |     3
 The Book of Life                                              |     3
 Kubo and the Two Strings                                      |     3
 Raw (II)                                                      |     2
 31                                                            |     2
 Martyrs                                                       |     1
 Nerve                                                         |     3
 Insidious                                                     |     3
 PK                                                            |     3
 Deja Vu                                                       |     3
 Snow White and the Huntsman                                   |     3
 Hancock                                                       |     3
 Bad Moms                                                      |     1
 Jupiter Ascending                                             |     3
 The imposible                                                 |     2
 Blue Valentine                                                |     2
 The Dressmaker                                                |     2
 G.I. Joe: The Rise of Cobra                                   |     3
 Mad Max: Fury Road                                            |     3
 Regression                                                    |     3
 Bridge to Terabithia                                          |     3
 Old Boy                                                       |     3
 The Best of Me                                                |     2
 Juno                                                          |     2
 Beautiful Creatures                                           |     3
 Limitless                                                     |     3
 Star Trek Into Darkness                                       |     3
 Crazy, Stupid, Love.                                          |     3
 Silver Linings Playbook                                       |     3
 Triangle                                                      |     3
 American Reunion                                              |     1
 Antichrist                                                    |     2
 Les Misérables                                                |     3
 2307: Winter's Dream                                          |     1
 Iron Man                                                      |     3
 Colonia                                                       |     3
 Manchester by the Sea                                         |     1
 Fifty Shades of Grey                                          |     3
 In the Heart of the Sea                                       |     3
 Inland Empire                                                 |     3
 The Ridiculous 6                                              |     2
 Changeling                                                    |     3
 Mechanic: Resurrection                                        |     3
 The Help                                                      |     1
 The Great Wall                                                |     3
 Bridesmaids                                                   |     2
 Monster Trucks                                                |     3
 Allegiant                                                     |     3
 The Dark Knight                                               |     3
 Body of Lies                                                  |     3
 Sicario                                                       |     3
 Terminator Genisys                                            |     3
 We Need to Talk About Kevin                                   |     3
 Queen of Katwe                                                |     3
